"varresp_ini";"varresp_fim";"qt_sem_hist";"historico_ini";"historico_fim";"retorno_esp_modelo";"retorno_real"
"21/09/2015";"25/09/2015";14;"15/06/2015";"18/09/2015";-0,401121459168495;-1,24569187235804
"21/09/2015";"25/09/2015";13;"22/06/2015";"18/09/2015";-0,119116258584616;0,30328411503296
"21/09/2015";"25/09/2015";12;"29/06/2015";"18/09/2015";0,27260331182422;0,0559971818712852
"21/09/2015";"25/09/2015";11;"06/07/2015";"18/09/2015";0,560749569378158;-4,86175683618277
"21/09/2015";"25/09/2015";10;"13/07/2015";"18/09/2015";0,450538686884986;3,04754624457561
"21/09/2015";"25/09/2015";9;"20/07/2015";"18/09/2015";0,312093823350345;-1,51581306890233
"21/09/2015";"25/09/2015";8;"27/07/2015";"18/09/2015";1,36849969133813;-1,54532189154888
"21/09/2015";"25/09/2015";7;"03/08/2015";"18/09/2015";1,37067244234432;0,884387242106116
"21/09/2015";"25/09/2015";6;"10/08/2015";"18/09/2015";0,845936876929047;0,634600350656381
"21/09/2015";"25/09/2015";5;"17/08/2015";"18/09/2015";0,4829739775328;-1,83685170702166
"21/09/2015";"25/09/2015";4;"24/08/2015";"18/09/2015";2,66163489337517;-6,01801152189111
"21/09/2015";"25/09/2015";3;"31/08/2015";"18/09/2015";4,91567101977296;-5,98877921320178
"21/09/2015";"25/09/2015";2;"07/09/2015";"18/09/2015";4,94716109424035;-9,10117769313983
"28/09/2015";"02/10/2015";15;"15/06/2015";"25/09/2015";-0,437908965116324;-0,583348118340501
"28/09/2015";"02/10/2015";14;"22/06/2015";"25/09/2015";-0,000589941263334288;-2,92192538806976
"28/09/2015";"02/10/2015";13;"29/06/2015";"25/09/2015";0,42711734638404;-4,14966677467854
"28/09/2015";"02/10/2015";12;"06/07/2015";"25/09/2015";0,407430637799347;-3,79790897467033
"28/09/2015";"02/10/2015";11;"13/07/2015";"25/09/2015";0,716395192969067;-6,2677857812419
"28/09/2015";"02/10/2015";10;"20/07/2015";"25/09/2015";0,804381751198977;-6,32434444197965
"28/09/2015";"02/10/2015";9;"27/07/2015";"25/09/2015";1,35260806960787;-4,30627922766527
"28/09/2015";"02/10/2015";8;"03/08/2015";"25/09/2015";1,71860868846316;-6,39676763858381
"28/09/2015";"02/10/2015";7;"10/08/2015";"25/09/2015";1,84010174631218;-4,40698316147626
"28/09/2015";"02/10/2015";6;"17/08/2015";"25/09/2015";1,30473166257326;-5,20581642023332
"28/09/2015";"02/10/2015";5;"24/08/2015";"25/09/2015";1,76423331525353;0,136485529937377
"28/09/2015";"02/10/2015";4;"31/08/2015";"25/09/2015";2,19482799967762;-1,64122492553168
"28/09/2015";"02/10/2015";3;"07/09/2015";"25/09/2015";2,34547697352688;-3,03541249977432
"28/09/2015";"02/10/2015";2;"14/09/2015";"25/09/2015";2,99809863489999;-4,27652661442579
"05/10/2015";"09/10/2015";15;"22/06/2015";"02/10/2015";-0,215542135010069;5,9842423286091
"05/10/2015";"09/10/2015";14;"29/06/2015";"02/10/2015";0,0101071071458242;8,94692837875048
"05/10/2015";"09/10/2015";13;"06/07/2015";"02/10/2015";0,0276958579690315;9,51850599051213
"05/10/2015";"09/10/2015";12;"13/07/2015";"02/10/2015";0,119088324506912;9,20530198416482
"05/10/2015";"09/10/2015";11;"20/07/2015";"02/10/2015";0,401962868908451;9,89707240844569
"05/10/2015";"09/10/2015";10;"27/07/2015";"02/10/2015";1,06899402639442;10,6335327098716
"05/10/2015";"09/10/2015";9;"03/08/2015";"02/10/2015";0,90662904236342;10,0715772052765
"05/10/2015";"09/10/2015";8;"10/08/2015";"02/10/2015";1,01145879062221;7,90603382941329
"05/10/2015";"09/10/2015";7;"17/08/2015";"02/10/2015";1,0748797033024;5,61388675996507
"05/10/2015";"09/10/2015";6;"24/08/2015";"02/10/2015";1,74996827615109;4,0131098780684
"05/10/2015";"09/10/2015";5;"31/08/2015";"02/10/2015";1,57291619055544;5,10035112746161
"05/10/2015";"09/10/2015";4;"07/09/2015";"02/10/2015";1,3003831777759;6,62377895244947
"05/10/2015";"09/10/2015";3;"14/09/2015";"02/10/2015";1,71204412933011;6,92003340035105
